quantity_index,z,p2p5,p16,median,p84,p97p5
0.000000000000000000e+00,4.000000000000000222e-01,9.475823380245273597e+00,1.009594253204588021e+01,1.062860951417452604e+01,1.121731941219385398e+01,1.189659979348153307e+01
0.000000000000000000e+00,4.046666666666666745e-01,9.585678667800531016e+00,1.020804628700909511e+01,1.073658382006266798e+01,1.132683567442323280e+01,1.200305594802984999e+01
0.000000000000000000e+00,4.093333333333333823e-01,9.695509683105717258e+00,1.031835688064540868e+01,1.084617861882344592e+01,1.143462672534447044e+01,1.211251626967254502e+01
0.000000000000000000e+00,4.140000000000000346e-01,9.805316362655823070e+00,1.042687165799363491e+01,1.095682587579990930e+01,1.154280363053693037e+01,1.221852104769517666e+01
0.000000000000000000e+00,4.186666666666666869e-01,9.915098630985301753e+00,1.053824641379360294e+01,1.106683481452920503e+01,1.164712404110151489e+01,1.232354857727937159e+01
0.000000000000000000e+00,4.233333333333333393e-01,1.002485646103954231e+01,1.064815126610960583e+01,1.117594798963395064e+01,1.175510831250911892e+01,1.242946244544236833e+01
0.000000000000000000e+00,4.280000000000000471e-01,1.013458981358816224e+01,1.075789306217863306e+01,1.128385251422680113e+01,1.186245117923974490e+01,1.253475374118983865e+01
0.000000000000000000e+00,4.326666666666666994e-01,1.024429865730100708e+01,1.086863231361156501e+01,1.139336621318969733e+01,1.196934218276332551e+01,1.263942491865175377e+01
0.000000000000000000e+00,4.373333333333333517e-01,1.035398296865312595e+01,1.097937671839237872e+01,1.150281180970024586e+01,1.207659776301952803e+01,1.274399424534236758e+01
0.000000000000000000e+00,4.420000000000000040e-01,1.046364273182991234e+01,1.108931164688738491e+01,1.160909870993254955e+01,1.218337979492856604e+01,1.284865577943592108e+01
0.000000000000000000e+00,4.466666666666667118e-01,1.057327793863253440e+01,1.119821585649466122e+01,1.171791395946422654e+01,1.228921789289075761e+01,1.295272388460621293e+01
0.000000000000000000e+00,4.513333333333333641e-01,1.068200620202456719e+01,1.130522056912219675e+01,1.182615613700999546e+01,1.239461404531768984e+01,1.305620084127682290e+01
0.000000000000000000e+00,4.560000000000000164e-01,1.079051758390445315e+01,1.141189804989593171e+01,1.193469082257990443e+01,1.249978458626149980e+01,1.315908893133399893e+01
0.000000000000000000e+00,4.606666666666666687e-01,1.089898285394745869e+01,1.151834430487537020e+01,1.204325648831237139e+01,1.260464183185690601e+01,1.325827220005513141e+01
0.000000000000000000e+00,4.653333333333333766e-01,1.100740206314275937e+01,1.162390049578753271e+01,1.214888068573968560e+01,1.270944939879508340e+01,1.335706322418793590e+01
