quantity_index,z,p2p5,p16,median,p84,p97p5
0.000000000000000000e+00,4.000000000000000222e-01,9.727306450454985765e+00,1.040000544383121373e+01,1.104147559331134687e+01,1.173133526003486438e+01,1.248527823966936090e+01
0.000000000000000000e+00,4.046666666666666745e-01,9.846588730097575848e+00,1.050125779939628856e+01,1.113127089354749089e+01,1.181437116396647014e+01,1.255914816066172790e+01
0.000000000000000000e+00,4.093333333333333823e-01,9.962046324652558127e+00,1.060615559145219855e+01,1.122507189534447392e+01,1.189900873863244790e+01,1.263240997300839830e+01
0.000000000000000000e+00,4.140000000000000346e-01,1.008162569829674382e+01,1.070674341325942081e+01,1.131807897282047470e+01,1.197930556833954618e+01,1.270865129055600917e+01
0.000000000000000000e+00,4.186666666666666869e-01,1.019390552389163673e+01,1.080665513782754594e+01,1.140829025379474082e+01,1.206274439171512824e+01,1.278873165525165234e+01
0.000000000000000000e+00,4.233333333333333393e-01,1.029950905003330064e+01,1.090973610402592442e+01,1.150052571768655874e+01,1.214074082628137496e+01,1.285999873404081839e+01
0.000000000000000000e+00,4.280000000000000471e-01,1.040567700036837273e+01,1.101428037373105617e+01,1.159533941244570698e+01,1.221386703615709912e+01,1.292428701509133404e+01
0.000000000000000000e+00,4.326666666666666994e-01,1.051188029269209423e+01,1.111818486090224312e+01,1.169067586127490621e+01,1.229317835952006099e+01,1.299186929774062094e+01
0.000000000000000000e+00,4.373333333333333517e-01,1.062837609257192995e+01,1.122085221714581849e+01,1.177932699586201082e+01,1.236484139461540899e+01,1.306046785086864404e+01
0.000000000000000000e+00,4.420000000000000040e-01,1.073710338621796012e+01,1.131940471246882041e+01,1.186780200963979048e+01,1.244060590751069029e+01,1.312982909251245189e+01
0.000000000000000000e+00,4.466666666666667118e-01,1.085522446236412897e+01,1.141609260583016727e+01,1.195004165825592324e+01,1.252167941882660429e+01,1.319324283597468650e+01
0.000000000000000000e+00,4.513333333333333641e-01,1.096517351701735521e+01,1.151596715779075986e+01,1.204098216483961892e+01,1.260297938331932066e+01,1.325626051128977601e+01
0.000000000000000000e+00,4.560000000000000164e-01,1.106445760511516774e+01,1.161247859200319432e+01,1.213216336509983151e+01,1.267886420694843608e+01,1.331937501163288751e+01
0.000000000000000000e+00,4.606666666666666687e-01,1.117259251948423682e+01,1.170906317436168109e+01,1.222009704301672883e+01,1.275639782583679782e+01,1.338622983769549180e+01
0.000000000000000000e+00,4.653333333333333766e-01,1.127035123045880027e+01,1.180496187749561976e+01,1.230619359440073168e+01,1.283080280285994945e+01,1.344942560239424800e+01
0.000000000000000000e+00,4.700000000000000289e-01,1.137968909525780603e+01,1.190466310800059446e+01,1.239228889244796505e+01,1.290846489547274878e+01,1.350967711405101923e+01
0.000000000000000000e+00,4.746666666666666812e-01,1.149907364563149237e+01,1.199730770219294307e+01,1.247821936356803718e+01,1.298291439191168806e+01,1.356693738457623510e+01
0.000000000000000000e+00,4.793333333333333890e-01,1.159682084657018208e+01,1.209513530397618908e+01,1.256012490684405769e+01,1.306191958287858768e+01,1.363526417619356934e+01
0.000000000000000000e+00,4.840000000000000413e-01,1.170953867508141855e+01,1.218663578235312883e+01,1.264839541166394632e+01,1.314002533945869722e+01,1.370004882833691795e+01
0.000000000000000000e+00,4.886666666666666936e-01,1.182332614173369834e+01,1.228445920160239702e+01,1.273790407796103707e+01,1.321271656173501619e+01,1.376440905515930879e+01
