quantity_index,z,p2p5,p16,median,p84,p97p5
0.000000000000000000e+00,4.000000000000000222e-01,7.367809855244585648e+00,8.223251245928979714e+00,9.685548238007566368e+00,1.143031508099062776e+01,1.379149576579911241e+01
0.000000000000000000e+00,4.046666666666666745e-01,7.474798514138297989e+00,8.333216936094393290e+00,9.798230959182340882e+00,1.153969264938709571e+01,1.388963293745655925e+01
0.000000000000000000e+00,4.093333333333333823e-01,7.582325738774173374e+00,8.442472503866595090e+00,9.911293859858762545e+00,1.164952269881743696e+01,1.398659608230447837e+01
0.000000000000000000e+00,4.140000000000000346e-01,7.690393643836336501e+00,8.552266147612405334e+00,1.002142442156215552e+01,1.175814876889293714e+01,1.410159975972528912e+01
0.000000000000000000e+00,4.186666666666666869e-01,7.797607053344224326e+00,8.662888877847491287e+00,1.013262474177342298e+01,1.186627029767158881e+01,1.419297241106925256e+01
0.000000000000000000e+00,4.233333333333333393e-01,7.901487009197849964e+00,8.774408359177344963e+00,1.024175522124966697e+01,1.197374679524658347e+01,1.428265447191911797e+01
0.000000000000000000e+00,4.280000000000000471e-01,8.005771704937684419e+00,8.887592193453539124e+00,1.035181018880398440e+01,1.207769289620531517e+01,1.437108134014649430e+01
0.000000000000000000e+00,4.326666666666666994e-01,8.110462359108076669e+00,8.998872541391399693e+00,1.046064734106705707e+01,1.218280064110109961e+01,1.445830547822309597e+01
0.000000000000000000e+00,4.373333333333333517e-01,8.215560199655687512e+00,9.107842733943424918e+00,1.056853000200735160e+01,1.228525889335239718e+01,1.454494201820947019e+01
0.000000000000000000e+00,4.420000000000000040e-01,8.321066463930700152e+00,9.216656129736634284e+00,1.067702763401621091e+01,1.239078707025486104e+01,1.464241689624592802e+01
0.000000000000000000e+00,4.466666666666667118e-01,8.427905170992612938e+00,9.325462552623271506e+00,1.078792948960995091e+01,1.249716528752168720e+01,1.474051788266836560e+01
0.000000000000000000e+00,4.513333333333333641e-01,8.535877687629049859e+00,9.438721677997106596e+00,1.089775581516472869e+01,1.260137578826040539e+01,1.482596536206528270e+01
0.000000000000000000e+00,4.560000000000000164e-01,8.646285340145373866e+00,9.555336888620844960e+00,1.100717914680489073e+01,1.270196223366550647e+01,1.490801938767462254e+01
0.000000000000000000e+00,4.606666666666666687e-01,8.757747474566404122e+00,9.673541226285793826e+00,1.111510934725879274e+01,1.280200292933160178e+01,1.498875320451243809e+01
0.000000000000000000e+00,4.653333333333333766e-01,8.869292802251750985e+00,9.786462055035411112e+00,1.122586952920945791e+01,1.290149994401146216e+01,1.507457758162546213e+01
0.000000000000000000e+00,4.700000000000000289e-01,8.980821756081681428e+00,9.906343252480056094e+00,1.133945474856282232e+01,1.300298722156136222e+01,1.516849369252981461e+01
