redshift_derivative_order,ell,s_Mpc_h,value,jackknife_sigma
0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,3.592853789248704605e-02,1.090431159619869184e-03
0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,2.643322733509982994e-02,1.023121204174805201e-03
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.026417782177578064e-02,9.107277499533543647e-04
0.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,1.565591124389597438e-02,8.604969641746072154e-04
0.000000000000000000e+00,0.000000000000000000e+00,5.800000000000000000e+01,1.237700179287417462e-02,7.719667229723011816e-04
0.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,1.020556162502461554e-02,8.142431224926078301e-04
0.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,8.244361702808396947e-03,7.186036248275900085e-04
0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+01,6.499575596583464544e-03,7.201530193078264572e-04
0.000000000000000000e+00,0.000000000000000000e+00,7.400000000000000000e+01,4.832525254665287831e-03,6.894760166710037263e-04
0.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000000e+01,3.556051913963276766e-03,6.433573752451717410e-04
0.000000000000000000e+00,0.000000000000000000e+00,8.200000000000000000e+01,2.427844547238152545e-03,5.591555175211529753e-04
0.000000000000000000e+00,0.000000000000000000e+00,8.600000000000000000e+01,2.296208928458786085e-03,5.503169822556726537e-04
0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+01,2.527293116942027143e-03,5.254618652238066253e-04
0.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,2.899423210701559429e-03,5.223080408764500934e-04
0.000000000000000000e+00,0.000000000000000000e+00,9.800000000000000000e+01,3.262640611781229653e-03,5.098197635333570968e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.020000000000000000e+02,3.533583906904426419e-03,4.808580830596471825e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,3.031612496059631675e-03,4.583339151779672674e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+02,2.030428052636704377e-03,4.256641112905522090e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.140000000000000000e+02,1.378308299464766316e-03,4.207168219790698941e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,6.616921896941104289e-04,3.673923953969790153e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.220000000000000000e+02,-9.716505698161381310e-05,3.612816230945532477e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.260000000000000000e+02,-4.465051042397893619e-04,3.526703115033554144e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+02,-1.195097555871842045e-03,3.929078172241985342e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000000e+02,-1.097009171815896281e-03,3.747105319154579099e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,-1.160190859460767058e-03,3.598656274217815871e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+02,-1.073053373551503343e-03,3.626054793391592416e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.460000000000000000e+02,-1.059509769818681819e-03,3.490488232307448267e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,-9.064555480044295078e-04,3.452857416087377700e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.540000000000000000e+02,-8.656133902722038713e-04,3.128820983062475863e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.580000000000000000e+02,-1.126780095416369219e-03,3.143400003769151628e-04
0.000000000000000000e+00,2.000000000000000000e+00,4.200000000000000000e+01,-4.288705266836180530e-02,1.680892795388815161e-03
0.000000000000000000e+00,2.000000000000000000e+00,4.600000000000000000e+01,-3.796662213904575950e-02,1.647218950003653207e-03
0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01,-3.156426340162450661e-02,1.485020948268971248e-03
0.000000000000000000e+00,2.000000000000000000e+00,5.400000000000000000e+01,-2.737863190325818402e-02,1.587500116566284772e-03
0.000000000000000000e+00,2.000000000000000000e+00,5.800000000000000000e+01,-2.152728106208344830e-02,1.458006513890088875e-03
0.000000000000000000e+00,2.000000000000000000e+00,6.200000000000000000e+01,-1.958013002827302743e-02,1.466274388107797252e-03
0.000000000000000000e+00,2.000000000000000000e+00,6.600000000000000000e+01,-1.713161428492726221e-02,1.336990840961889459e-03
