quantity_index,z,p2p5,p16,median,p84,p97p5
0.000000000000000000e+00,4.000000000000000222e-01,6.787604754687363240e+00,7.855676854040581247e+00,1.067440555367197064e+01,1.188318120160378655e+01,1.433903053978618480e+01
0.000000000000000000e+00,4.046666666666666745e-01,6.922627715085215350e+00,7.968236864627228577e+00,1.077173431032083428e+01,1.196371651559162785e+01,1.436262801132008526e+01
0.000000000000000000e+00,4.093333333333333823e-01,7.059217856243088285e+00,8.081120920612228531e+00,1.086547792446492622e+01,1.204393035617934871e+01,1.438588675514376547e+01
0.000000000000000000e+00,4.140000000000000346e-01,7.196890155439017889e+00,8.199056721670821446e+00,1.096596253450676883e+01,1.212305044416399191e+01,1.440884874953323447e+01
0.000000000000000000e+00,4.186666666666666869e-01,7.335689626877714531e+00,8.330729347718712319e+00,1.105772513283721281e+01,1.220188450574494787e+01,1.443155477706470613e+01
0.000000000000000000e+00,4.233333333333333393e-01,7.465584000555526067e+00,8.475673176640823314e+00,1.114831382388282321e+01,1.228018657298689398e+01,1.445404455852765935e+01
0.000000000000000000e+00,4.280000000000000471e-01,7.582996652367321566e+00,8.609772779715058277e+00,1.123396956950574932e+01,1.235797380357673703e+01,1.450347604429699722e+01
0.000000000000000000e+00,4.326666666666666994e-01,7.704955680219175207e+00,8.736818315195584717e+00,1.132568011255641593e+01,1.243526313289070906e+01,1.455693842450731168e+01
0.000000000000000000e+00,4.373333333333333517e-01,7.822496946253808758e+00,8.867729224427090884e+00,1.141131833197002976e+01,1.251207127885347958e+01,1.460928174914025846e+01
0.000000000000000000e+00,4.420000000000000040e-01,7.940560222376539024e+00,9.010349801126247726e+00,1.149918413049073784e+01,1.258841474671923066e+01,1.464318971465846886e+01
0.000000000000000000e+00,4.466666666666667118e-01,8.059134754541586787e+00,9.153483109923330474e+00,1.158904158786357286e+01,1.266373004883910447e+01,1.465660313263934000e+01
0.000000000000000000e+00,4.513333333333333641e-01,8.178209635131636901e+00,9.297102901112088702e+00,1.168176655572607814e+01,1.273712702238723438e+01,1.470794019153580123e+01
0.000000000000000000e+00,4.560000000000000164e-01,8.315089376540015564e+00,9.441182564568562086e+00,1.176879710886509045e+01,1.280807172224720425e+01,1.472369521761723554e+01
0.000000000000000000e+00,4.606666666666666687e-01,8.454431315268815084e+00,9.585695119914142026e+00,1.186255033877193377e+01,1.288204559845565100e+01,1.473174458145948940e+01
0.000000000000000000e+00,4.653333333333333766e-01,8.612637505885910372e+00,9.730613277130835570e+00,1.195381746639824172e+01,1.294802545500308177e+01,1.476293271879453428e+01
0.000000000000000000e+00,4.700000000000000289e-01,8.767023551306689200e+00,9.874583498968654283e+00,1.204365531652120680e+01,1.301616009407397989e+01,1.480849180986047209e+01
0.000000000000000000e+00,4.746666666666666812e-01,8.916563896829488911e+00,1.000571978631206171e+01,1.213241385117509274e+01,1.309357347570114349e+01,1.485371961443610722e+01
