z,DM_over_rd,DM_over_rd_jk_sigma,DH_over_rd,DH_over_rd_jk_sigma,dDM_over_rd_dz,dDM_over_rd_dz_jk_sigma,dDH_over_rd_dz,dDH_over_rd_dz_jk_sigma,d2DM_over_rd_dz2,d2DM_over_rd_dz2_jk_sigma,d2DH_over_rd_dz2,d2DH_over_rd_dz2_jk_sigma,S2,S2_formal_sigma,S1_pivot,S1_pivot_formal_sigma,S0_pivot,S0_pivot_formal_sigma
4.000000000000000222e-01,1.139600009549439541e+01,4.837478019418548492e-01,2.171195031165526856e+01,1.657795753984861342e+00,1.755421782817947474e+01,2.335118544295299525e+00,8.949360494767931939e+00,1.055844760347228117e+01,-2.065951214247909817e+01,3.134138255439198328e+00,-5.858131297250006497e+01,1.863096370978870553e+01,-2.194222983972254681e+00,5.232923611564791466e-01,3.721043547530758833e+00,1.914386454331580278e+00,-4.598493361528848133e-01,9.473504711138009959e-01
4.038888888888889084e-01,1.146411203570179715e+01,4.768370897138087261e-01,2.174630982730218776e+01,1.621726447151936368e+00,1.747523052750773687e+01,2.340976329496364361e+00,8.721100350434591419e+00,1.049089228148578812e+01,-1.996372791462390950e+01,3.015205330110769300e+00,-5.880842377952376410e+01,1.907094556607201241e+01,-2.196774111401849527e+00,5.214044606568888351e-01,3.684208062374188852e+00,1.880771661506256631e+00,-4.161045121213780007e-01,9.167489918894147216e-01
4.077777777777777946e-01,1.153192204657462483e+01,4.699613382839123998e-01,2.177977996534617944e+01,1.586079716287014829e+00,1.739893515119077350e+01,2.346013514848786397e+00,8.491970954763608859e+00,1.042159583832348702e+01,-1.927506894212786293e+01,2.911272990049431630e+00,-5.902835138664188719e+01,1.950705438298175309e+01,-2.199491588191705649e+00,5.195436615345488951e-01,3.647757877734000509e+00,1.847743837182789006e+00,-3.734282829628070566e-01,8.870146203756912318e-01
4.116666666666666807e-01,1.159944054320125417e+01,4.631260601703098279e-01,2.181235739975951660e+01,1.550869779777292345e+00,1.732530427894964831e+01,2.350245571764490560e+00,8.262000301399952562e+00,1.035058056536954396e+01,-1.859338690790081827e+01,2.822951915986851468e+00,-5.924106568895036418e+01,1.993907518412045832e+01,-2.202381209524040262e+00,5.177122167604086833e-01,3.611683599721260407e+00,1.815288828219681738e+00,-3.317951103689253944e-01,8.581219438442035941e-01
4.155555555555555669e-01,1.166667783515217671e+01,4.563367827536123356e-01,2.184403891360284078e+01,1.516111168801241194e+00,1.725431106343214083e+01,2.353687685045828371e+00,8.031216498412625526e+00,1.027786925995579281e+01,-1.791853547431200511e+01,2.750727955248734258e+00,-5.944653794531976843e+01,2.036680489584556852e+01,-2.205448977507432406e+00,5.159124993346690946e-01,3.575975955304208309e+00,1.783392756035097726e+00,-2.911801740087689438e-01,8.300463868973835257e-01
4.194444444444444531e-01,1.173364412869316098e+01,4.495990503804951355e-01,2.187482139945988635e+01,1.481818743493166890e+00,1.718592922259226441e+01,2.356354753529429580e+00,7.799647762984117882e+00,1.020348522228315957e+01,-1.725037024347842873e+01,2.694910670793659868e+00,-5.964474078195795670e+01,2.079005121539995216e+01,-2.208701110647553367e+00,5.141470098091052154e-01,3.540625788287097286e+00,1.752042007100404586e+00,-2.515593500151378503e-01,8.027641811130415972e-01
4.233333333333333393e-01,1.180034952896912515e+01,4.429184259941725821e-01,2.190470185985137164e+01,1.448007708786478887e+00,1.712013303222298077e+01,2.358261391566322196e+00,7.567322416086447845e+00,1.012745225250885994e+01,-1.658874871818160912e+01,2.655588079572628768e+00,-5.983564819569181736e+01,2.120863163223365078e+01,-2.212144053839801394e+00,5.124183844795279219e-01,3.505624055350503809e+00,1.721223226005664575e+00,-2.129091901810802323e-01,7.762523386492029553e-01
4.272222222222222254e-01,1.186680404215922202e+01,4.363004922168225441e-01,2.193367740762833051e+01,1.414693629622461923e+00,1.705689731863973435e+01,2.359421931250393456e+00,7.334268877145098564e+00,1.004979464802326383e+01,-1.593353026339949352e+01,2.632595345107078266e+00,-6.001923555696826185e+01,2.162237257977299620e+01,-2.215784488917706518e+00,5.107294038170969719e-01,3.470961822150678167e+00,1.690923307401074771e+00,-1.752069018412198975e-01,7.504886250408585591e-01
4.311111111111111116e-01,1.193301757760375459e+01,4.297508518013514744e-01,2.196174526634452562e+01,1.381892445142152370e+00,1.699619745151241901e+01,2.359850425320055844e+00,7.100515658691773702e+00,9.970537200942397149e+00,-1.528457606844022365e+01,2.625503809398014976e+00,-6.019547961257329405e+01,2.203110869855773757e+01,-2.219629345793518560e+00,5.090830021437218189e-01,3.436630259475634386e+00,1.661129388478679969e+00,-1.384303284140249168e-01,7.254515335353358685e-01
4.350000000000000533e-01,1.199899994990356333e+01,4.232751273619759780e-01,2.198890277060818477e+01,1.349620481399044891e+00,1.693800933684340038e+01,2.359560650669829673e+00,6.866091361007116589e+00,9.889705195844006980e+00,-1.464174910966512044e+01,2.633633343223143353e+00,-6.036435848806884508e+01,2.243468219469811231e+01,-2.223685814230132785e+00,5.074822773124915143e-01,3.402620639455621099e+00,1.631828841387015450e+00,-1.025579305817263531e-01,7.011202603179664816e-01
