s_Mpc_h,xi_ell0,xi_ell0_jk_sigma,xi_ell2,xi_ell2_jk_sigma,xi_ell4,xi_ell4_jk_sigma,dxi_dz_ell0,dxi_dz_ell0_jk_sigma,dxi_dz_ell2,dxi_dz_ell2_jk_sigma,dxi_dz_ell4,dxi_dz_ell4_jk_sigma,d2xi_dz2_ell0,d2xi_dz2_ell0_jk_sigma,d2xi_dz2_ell2,d2xi_dz2_ell2_jk_sigma,d2xi_dz2_ell4,d2xi_dz2_ell4_jk_sigma
4.300000000000000000e+01,3.336779662040657846e-02,1.058603584426461410e-03,-4.161154803391239193e-02,1.631921778863549329e-03,1.884244973878798114e-03,1.667332106106008197e-03,-6.167783763220383193e-03,4.991965307646896791e-03,1.116799229001514890e-02,9.629288537655397370e-03,-2.251926057203684772e-02,1.005072707825751047e-02,-2.042794795858220158e-02,6.911174701697218870e-02,7.902763824088994415e-02,1.231481690849301758e-01,-2.301062416040547398e-01,1.212807516707376382e-01
4.900000000000000000e+01,2.147089634152898191e-02,9.010114680757266804e-04,-3.313759274928441967e-02,1.446925096275477989e-03,2.043239708857268536e-03,1.554436647062518119e-03,-8.061246249785563103e-03,4.535348512916057527e-03,3.510888695921646034e-03,8.502833291112944086e-03,-1.752137126298456207e-02,1.055792922482708465e-02,-8.847103259426081223e-02,6.046627309153435048e-02,2.653887339127206438e-02,1.100211309558067341e-01,-1.350981849658409728e-01,1.015878213494044863e-01
5.500000000000000000e+01,1.479310093657012701e-02,8.283946949158095584e-04,-2.607853933842085165e-02,1.479209650190616183e-03,2.662246509760029384e-04,1.409911613296942982e-03,-6.461979453353626848e-03,4.429856492506668506e-03,4.072366039888532588e-03,8.026776644644829928e-03,-1.657852272034102473e-02,9.504387155372140059e-03,-5.975341278290581537e-02,5.828939562386690337e-02,9.275625084013050525e-02,1.021414705449831956e-01,-8.004075226795470677e-02,1.050498862968118341e-01
6.100000000000000000e+01,1.063337809390807638e-02,7.557863647818287029e-04,-1.954452138387667570e-02,1.415009436667406502e-03,1.110601332156607897e-03,1.337504903767484672e-03,-3.619635107980292196e-03,4.134324568822764917e-03,1.370256560963868664e-02,7.444894538538576224e-03,-9.951731276246982005e-03,8.806073154709347095e-03,-4.820143265580568992e-02,5.367162681857729628e-02,2.188144056338736307e-02,9.890030132448829336e-02,-1.777163692918597160e-02,1.080818603494091007e-01
6.700000000000000000e+01,7.624788987629997281e-03,7.040298566548572985e-04,-1.681057751387806526e-02,1.231475987559935408e-03,1.128876399097542785e-03,1.360011801065989529e-03,2.053347076292648052e-03,3.713739286096401533e-03,7.271894267022559546e-03,7.843676903887961821e-03,-9.199268247272057025e-03,8.069361877898351826e-03,-8.225857136237409856e-03,5.002939722116939852e-02,-1.246635601494629764e-01,8.813986270190624084e-02,3.592330472642599193e-02,9.226031657938822683e-02
7.300000000000000000e+01,5.364378566332556747e-03,6.815572813029924628e-04,-1.377870849011829206e-02,1.164272283379057032e-03,1.885933005977156931e-03,1.269998078312386570e-03,3.854433530951753475e-03,3.228381590763922809e-03,8.342740890146417912e-03,7.863640647638732439e-03,-8.738503596809988477e-03,7.312446033047643838e-03,-1.804613318923324605e-02,4.566908576338592901e-02,2.275129456710494810e-02,8.868319138764640952e-02,-1.002232390752412147e-02,9.958452192300851213e-02
7.900000000000000000e+01,3.145516675363503947e-03,5.986610366828771200e-04,-1.133565474936579567e-02,1.102044144849468514e-03,2.085295183859438989e-03,1.301981327560628159e-03,4.485199146345355582e-03,3.049121372383105377e-03,4.680294895553394237e-03,7.622179396782580510e-03,-6.453851974908430926e-03,6.954420670863278343e-03,1.455070617314185855e-02,3.821519135669720901e-02,4.620684157387077579e-02,7.070407501536953021e-02,-2.440645468271518403e-02,8.257372879213743799e-02
8.500000000000000000e+01,2.352759753643902767e-03,5.409057173282022079e-04,-9.149447149453100725e-03,1.135650708343555670e-03,8.516974015173798922e-04,1.125564400906247774e-03,3.624640866611647614e-03,3.166427238596775887e-03,1.174823584612937240e-03,7.145729309756689018e-03,-1.144416949360518854e-02,7.122152758390184503e-03,9.158909210794501446e-03,3.599114493017543243e-02,-1.824086601915565070e-03,7.614777506396679108e-02,-1.000661120566427587e-02,8.339776726933288697e-02
9.100000000000000000e+01,2.592542030234845640e-03,5.160490972863419380e-04,-7.253402963205068596e-03,1.120380565394697887e-03,4.013450702824704905e-04,1.116317687972545819e-03,5.816499918218340920e-03,3.063737515178988850e-03,1.304446832739062940e-03,7.143399364476736915e-03,-1.020136284277642011e-02,7.989303395552503628e-03,1.170294524925257103e-02,3.410347684508892308e-02,-1.581892111551867763e-02,8.053806780247010910e-02,-1.273459421875171131e-02,8.872007681894353293e-02
9.700000000000000000e+01,3.202801632484054625e-03,4.979509492338300355e-04,-7.470954901266167736e-03,1.067175904596652861e-03,3.780931751490995696e-05,1.084200427916544003e-03,6.817362393062527393e-03,2.760664455682999494e-03,8.558168118182832990e-04,6.616959861727757242e-03,-4.469108976412859702e-03,7.589771901767543814e-03,6.223941193174864495e-02,3.334597258385229440e-02,4.811343646247927264e-02,6.893484948013507696e-02,5.911192709622460628e-02,7.826423942939901568e-02
