z,W_first,W_second
4.000000000000000222e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.005000000000000226e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.010000000000000231e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.015000000000000235e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.020000000000000240e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.025000000000000244e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.030000000000000249e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.035000000000000253e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.040000000000000258e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.045000000000000262e-01,-0.000000000000000000e+00,0.000000000000000000e+00
4.050000000000000266e-01,2.246233766249462055e-02,0.000000000000000000e+00
4.055000000000000271e-01,2.246233766249462055e-02,1.718767677722373940e-04
4.060000000000000275e-01,2.246233766249462055e-02,3.437535355444747880e-04
4.065000000000000280e-01,2.246233766249462055e-02,5.156303033167121278e-04
4.070000000000000284e-01,2.246233766249462055e-02,6.875070710889495760e-04
4.075000000000000289e-01,2.246233766249462055e-02,8.593838388611869158e-04
4.080000000000000293e-01,2.246233766249462055e-02,1.031260606633424256e-03
4.085000000000000298e-01,2.246233766249462055e-02,1.203137374405661595e-03
4.090000000000000302e-01,2.246233766249462055e-02,1.375014142177899152e-03
4.095000000000000306e-01,2.246233766249462055e-02,1.546890909950136492e-03
4.100000000000000311e-01,2.246233766249462055e-02,1.718767677722373832e-03
4.105000000000000315e-01,2.246233766249462055e-02,1.890644445494611171e-03
4.110000000000000320e-01,2.246233766249462055e-02,2.062521213266848511e-03
4.115000000000000324e-01,2.246233766249462055e-02,2.234397981039085851e-03
4.120000000000000329e-01,2.246233766249462055e-02,2.406274748811323191e-03
4.125000000000000333e-01,2.246233766249462055e-02,2.578151516583560964e-03
4.130000000000000338e-01,2.246233766249462055e-02,2.750028284355798304e-03
4.135000000000000342e-01,2.246233766249462055e-02,2.921905052128035644e-03
4.140000000000000346e-01,2.246233766249462055e-02,3.093781819900272984e-03
4.145000000000000351e-01,2.246233766249462055e-02,3.265658587672510323e-03
4.150000000000000355e-01,9.166766724203090355e-02,3.437535355444747663e-03
4.155000000000000360e-01,9.166766724203090355e-02,4.130442905535432890e-03
4.160000000000000364e-01,9.166766724203090355e-02,4.823350455626117250e-03
4.165000000000000369e-01,9.166766724203090355e-02,5.516258005716803345e-03
4.170000000000000373e-01,9.166766724203090355e-02,6.209165555807487705e-03
4.175000000000000377e-01,9.166766724203090355e-02,6.902073105898172932e-03
4.180000000000000382e-01,9.166766724203090355e-02,7.594980655988857292e-03
4.185000000000000386e-01,9.166766724203090355e-02,8.287888206079542519e-03
4.190000000000000391e-01,9.166766724203090355e-02,8.980795756170226879e-03
4.195000000000000395e-01,9.166766724203090355e-02,9.673703306260911239e-03
4.200000000000000400e-01,9.166766724203090355e-02,1.036661085635159907e-02
4.205000000000000404e-01,9.166766724203090355e-02,1.105951840644228343e-02
4.210000000000000409e-01,9.166766724203090355e-02,1.175242595653296779e-02
4.215000000000000413e-01,9.166766724203090355e-02,1.244533350662365215e-02
4.220000000000000417e-01,9.166766724203090355e-02,1.313824105671433651e-02
4.225000000000000422e-01,9.166766724203090355e-02,1.383114860680502260e-02
4.230000000000000426e-01,9.166766724203090355e-02,1.452405615689570696e-02
4.235000000000000431e-01,9.166766724203090355e-02,1.521696370698639306e-02
4.240000000000000435e-01,9.166766724203090355e-02,1.590987125707707742e-02
4.245000000000000440e-01,9.166766724203090355e-02,1.660277880716776178e-02
4.250000000000000444e-01,1.872068621647641207e-01,1.729568635725844961e-02
4.255000000000000449e-01,1.872068621647641207e-01,1.868352859539981758e-02
4.260000000000000453e-01,1.872068621647641207e-01,2.007137083354119250e-02
4.265000000000000457e-01,1.872068621647641207e-01,2.145921307168256048e-02
4.270000000000000462e-01,1.872068621647641207e-01,2.284705530982393193e-02
4.275000000000000466e-01,1.872068621647641207e-01,2.423489754796530338e-02
4.280000000000000471e-01,1.872068621647641207e-01,2.562273978610667483e-02
4.285000000000000475e-01,1.872068621647641207e-01,2.701058202424804974e-02
4.290000000000000480e-01,1.872068621647641207e-01,2.839842426238941772e-02
4.295000000000000484e-01,1.872068621647641207e-01,2.978626650053078917e-02
4.300000000000000488e-01,1.872068621647641207e-01,3.117410873867216409e-02
4.304999999999999938e-01,1.872068621647641207e-01,3.256195097681337941e-02
4.310000000000000497e-01,1.872068621647641207e-01,3.394979321495490698e-02
4.314999999999999947e-01,1.872068621647641207e-01,3.533763545309612231e-02
4.320000000000000506e-01,1.872068621647641207e-01,3.672547769123764988e-02
4.324999999999999956e-01,1.872068621647641207e-01,3.811331992937886520e-02
4.330000000000000515e-01,1.872068621647641207e-01,3.950116216752039278e-02
4.334999999999999964e-01,1.872068621647641207e-01,4.088900440566160810e-02
4.340000000000000524e-01,1.872068621647641207e-01,4.227684664380312873e-02
4.344999999999999973e-01,1.872068621647641207e-01,4.366468888194435793e-02
4.350000000000000533e-01,2.850902376204251243e-01,4.505253112008595490e-02
4.354999999999999982e-01,2.850902376204251243e-01,4.711198409682801347e-02
4.360000000000000542e-01,2.850902376204251243e-01,4.917143707357052307e-02
4.364999999999999991e-01,2.850902376204251243e-01,5.123089005031258164e-02
4.369999999999999996e-01,2.850902376204251243e-01,5.329034302705486920e-02
4.375000000000000000e-01,2.850902376204251243e-01,5.534979600379714981e-02
4.380000000000000004e-01,2.850902376204251243e-01,5.740924898053944431e-02
4.385000000000000009e-01,2.850902376204251243e-01,5.946870195728172492e-02
4.390000000000000013e-01,2.850902376204251243e-01,6.152815493402401248e-02
4.395000000000000018e-01,2.850902376204251243e-01,6.358760791076630003e-02
4.400000000000000022e-01,2.850902376204251243e-01,6.564706088750858759e-02
4.405000000000000027e-01,2.850902376204251243e-01,6.770651386425087515e-02
4.410000000000000031e-01,2.850902376204251243e-01,6.976596684099314882e-02
4.415000000000000036e-01,2.850902376204251243e-01,7.182541981773543638e-02
4.420000000000000040e-01,2.850902376204251243e-01,7.388487279447772393e-02
4.425000000000000044e-01,2.850902376204251243e-01,7.594432577122001149e-02
4.430000000000000049e-01,2.850902376204251243e-01,7.800377874796229904e-02
4.435000000000000053e-01,2.850902376204251243e-01,8.006323172470458660e-02
4.440000000000000058e-01,2.850902376204251243e-01,8.212268470144687416e-02
4.445000000000000062e-01,2.850902376204251243e-01,8.418213767818916171e-02
4.450000000000000067e-01,3.831998987957312419e-01,8.624159065493144927e-02
4.455000000000000071e-01,3.831998987957312419e-01,8.893128623872910421e-02
4.460000000000000075e-01,3.831998987957312419e-01,9.162098182252675915e-02
4.465000000000000080e-01,3.831998987957312419e-01,9.431067740632440022e-02
4.470000000000000084e-01,3.831998987957312419e-01,9.700037299012204128e-02
4.475000000000000089e-01,3.831998987957312419e-01,9.969006857391969623e-02
4.480000000000000093e-01,3.831998987957312419e-01,1.023797641577173650e-01
4.485000000000000098e-01,3.831998987957312419e-01,1.050694597415149922e-01
4.490000000000000102e-01,3.831998987957312419e-01,1.077591553253126611e-01
4.495000000000000107e-01,3.831998987957312419e-01,1.104488509091103021e-01
4.500000000000000111e-01,3.831998987957312419e-01,1.131385464929079571e-01
4.505000000000000115e-01,3.831998987957312419e-01,1.158282420767056120e-01
4.510000000000000120e-01,3.831998987957312419e-01,1.185179376605032392e-01
4.515000000000000124e-01,3.831998987957312419e-01,1.212076332443008941e-01
4.520000000000000129e-01,3.831998987957312419e-01,1.238973288280985630e-01
4.525000000000000133e-01,3.831998987957312419e-01,1.265870244118962040e-01
4.530000000000000138e-01,3.831998987957312419e-01,1.292767199956938728e-01
4.535000000000000142e-01,3.831998987957312419e-01,1.319664155794915139e-01
4.540000000000000147e-01,3.831998987957312419e-01,1.346561111632891550e-01
4.545000000000000151e-01,3.831998987957312419e-01,1.373458067470867960e-01
4.550000000000000155e-01,4.821797578747464286e-01,1.400355023308844649e-01
4.555000000000000160e-01,4.821797578747464286e-01,1.433184541467698025e-01
4.560000000000000164e-01,4.821797578747464286e-01,1.466014059626551680e-01
4.565000000000000169e-01,4.821797578747464286e-01,1.498843577785405057e-01
4.570000000000000173e-01,4.821797578747464286e-01,1.531673095944258989e-01
4.575000000000000178e-01,4.821797578747464286e-01,1.564502614103112366e-01
4.580000000000000182e-01,4.821797578747464286e-01,1.597332132261966020e-01
4.585000000000000187e-01,4.821797578747464286e-01,1.630161650420819397e-01
4.590000000000000191e-01,4.821797578747464286e-01,1.662991168579673051e-01
4.595000000000000195e-01,4.821797578747464286e-01,1.695820686738526428e-01
4.600000000000000200e-01,4.821797578747464286e-01,1.728650204897380360e-01
4.605000000000000204e-01,4.821797578747464286e-01,1.761479723056233460e-01
4.610000000000000209e-01,4.821797578747464286e-01,1.794309241215087392e-01
4.615000000000000213e-01,4.821797578747464286e-01,1.827138759373940768e-01
4.620000000000000218e-01,4.821797578747464286e-01,1.859968277532794700e-01
4.625000000000000222e-01,4.821797578747464286e-01,1.892797795691647800e-01
4.630000000000000226e-01,4.821797578747464286e-01,1.925627313850501732e-01
4.635000000000000231e-01,4.821797578747464286e-01,1.958456832009355109e-01
4.640000000000000235e-01,4.821797578747464286e-01,1.991286350168208763e-01
4.645000000000000240e-01,4.821797578747464286e-01,2.024115868327062140e-01
4.650000000000000244e-01,5.817257761979475195e-01,2.056945386485915794e-01
4.655000000000000249e-01,5.817257761979475195e-01,2.095314778811590006e-01
4.660000000000000253e-01,5.817257761979475195e-01,2.133684171137264496e-01
4.665000000000000258e-01,5.817257761979475195e-01,2.172053563462938708e-01
4.670000000000000262e-01,5.817257761979475195e-01,2.210422955788612920e-01
4.675000000000000266e-01,5.817257761979475195e-01,2.248792348114287409e-01
