redshift_derivative_order,ell,s_Mpc_h,value,jackknife_sigma
0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,2.269824532832754801e-02,1.445858287204958119e-03
0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,1.584235870484414568e-02,1.480376575396659834e-03
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,1.143059129419049698e-02,1.133015995635849177e-03
0.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,9.373754518200458005e-03,1.206707768617040462e-03
0.000000000000000000e+00,0.000000000000000000e+00,5.800000000000000000e+01,7.923721857025653459e-03,1.089733053745811685e-03
0.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,5.415889125075051130e-03,1.025707989911753097e-03
0.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,3.560624456215598366e-03,9.448285898730908981e-04
0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+01,2.796107122565348428e-03,9.535139742554512871e-04
0.000000000000000000e+00,0.000000000000000000e+00,7.400000000000000000e+01,1.507258705388265629e-03,9.145111729870201208e-04
0.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000000e+01,2.483646487705008267e-03,7.901694219173787097e-04
0.000000000000000000e+00,0.000000000000000000e+00,8.200000000000000000e+01,8.057604136519399413e-04,7.782942843197103661e-04
0.000000000000000000e+00,0.000000000000000000e+00,8.600000000000000000e+01,1.655951026922634602e-03,8.233747985653739644e-04
0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+01,1.691899588598757588e-03,7.111620764939539582e-04
0.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,2.097031933410145252e-03,6.285568678481592798e-04
0.000000000000000000e+00,0.000000000000000000e+00,9.800000000000000000e+01,2.143994765266193491e-03,6.218640496194401427e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.020000000000000000e+02,3.119507549610687352e-03,7.219807839426095001e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,2.090423005700326603e-03,5.550833224569585393e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+02,1.279166254048531544e-03,6.146982991896288032e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.140000000000000000e+02,1.370656256051278749e-03,6.364015983101654981e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,2.197034526207484377e-04,5.917456700850182551e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.220000000000000000e+02,-5.981464275913340057e-05,5.578995613831118101e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.260000000000000000e+02,-6.196857821830531639e-04,5.918012731434625813e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+02,-1.423658085354835025e-04,5.134070689915539104e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000000e+02,-2.509540183888641176e-04,5.432081598764592874e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,-3.106060280310347964e-04,5.000849375336791948e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+02,-2.840666556927966897e-04,5.484634155326790226e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.460000000000000000e+02,-2.406484284066709412e-04,4.617802343765843977e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,-1.995728788652277109e-04,4.674252906034143703e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.540000000000000000e+02,-7.398720931769168455e-04,4.479033026425920149e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.580000000000000000e+02,-2.246346769602542153e-04,4.764920005484536074e-04
0.000000000000000000e+00,2.000000000000000000e+00,4.200000000000000000e+01,-2.642231114592505370e-02,2.909893344292381265e-03
0.000000000000000000e+00,2.000000000000000000e+00,4.600000000000000000e+01,-2.717055471461228902e-02,2.849294208642401145e-03
0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01,-2.475372777222841977e-02,2.732648397016930897e-03
0.000000000000000000e+00,2.000000000000000000e+00,5.400000000000000000e+01,-1.828393100895059700e-02,2.546747203804705997e-03
0.000000000000000000e+00,2.000000000000000000e+00,5.800000000000000000e+01,-1.620374167064183440e-02,2.534029644505409254e-03
0.000000000000000000e+00,2.000000000000000000e+00,6.200000000000000000e+01,-1.287300087823947496e-02,2.251053257529411246e-03
0.000000000000000000e+00,2.000000000000000000e+00,6.600000000000000000e+01,-1.152929525802189395e-02,2.234911979669199078e-03
0.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+01,-1.206051280270234449e-02,2.016335498520799036e-03
0.000000000000000000e+00,2.000000000000000000e+00,7.400000000000000000e+01,-9.770145807771244903e-03,1.814661114303941277e-03
0.000000000000000000e+00,2.000000000000000000e+00,7.800000000000000000e+01,-7.832514173497777399e-03,1.919927608820657609e-03
0.000000000000000000e+00,2.000000000000000000e+00,8.200000000000000000e+01,-7.867687741518917394e-03,1.853198188761946089e-03
